Rank,date,primaryTitle,budget,domestic_gross,world_gross
"1,325","Sep 12, 1997",The Game,"$50,000,000","$48,265,581","$80,369,970"
"2,302","Sep 12, 2003",Once Upon a Time in Mexico,"$29,000,000","$56,330,657","$97,413,527"
"5,079","Sep 12, 2003",Lost in Translation,"$4,000,000","$44,585,453","$117,085,297"
"5,597","Sep 12, 2003","The Book of Mormon Movie, Volume 1: The Journey","$2,000,000","$1,660,865","$1,660,865"
"5,746","Sep 12, 2003",Cabin Fever,"$1,500,000","$21,158,188","$30,351,664"
"1,085","Sep 12, 2008",Righteous Kill,"$60,000,000","$40,081,410","$78,481,410"
"1,839","Sep 12, 2008",Burn After Reading,"$37,000,000","$60,355,347","$168,167,798"
"3,319","Sep 12, 2008",The Women,"$16,000,000","$26,902,075","$50,103,808"
968,"Sep 12, 2012",Resident Evil: Retribution,"$65,000,000","$42,345,531","$240,647,629"
"5,050","Sep 12, 2012",The Sweeney,"$4,500,000","$26,345","$8,000,366"
"1,859","Sep 12, 2014",Dolphin Tale 2,"$36,000,000","$42,024,533","$57,824,533"
"3,657","Sep 12, 2014",No Good Deed,"$13,200,000","$52,543,632","$54,323,210"
"3,736","Sep 12, 2014",The Drop,"$12,600,000","$10,724,389","$19,054,534"
"4,941","Sep 12, 2014",Atlas Shrugged: Who Is John Galt?,"$5,000,000","$851,690","$851,690"
"5,930","Sep 12, 2014",The Skeleton Twins,"$1,000,000","$5,284,309","$5,797,192"
"6,144","Sep 12, 2014",Faith Connections,"$550,000","$9,111","$9,111"
"6,379","Sep 12, 2014",Archaeology of a Woman,"$200,000",$0,$0
575,"Sep 12, 2016",The Magnificent Seven,"$90,000,000.00","$93,432,655.00","$162,122,642.00"
"2,857","Sep 12, 2018",A Simple Favor,"$20,000,000","$53,548,586","$97,628,717"
"1,758","Sep 12, 2019",The Goldfinch,"$40,000,000","$5,332,621","$9,429,910"
"2,809","Sep 12, 2019",Hustlers,"$20,700,000","$104,963,598","$150,467,919"
"5,353","Sep 13, 1978",Days of Heaven,"$3,000,000","$3,446,749","$3,660,880"
"5,027","Sep 13, 1985",After Hours,"$4,500,000","$10,609,321","$10,624,419"
"4,835","Sep 13, 1991",Freddy’s Dead: The Final Nightmare,"$5,000,000","$34,872,033","$34,872,033"
"2,575","Sep 13, 1996",Maximum Risk,"$25,000,000","$14,102,929","$51,702,929"
"2,576","Sep 13, 2002",Stealing Harvard,"$25,000,000","$13,973,532","$13,973,532"
"3,772","Sep 13, 2002",Barbershop,"$12,000,000","$75,781,642","$77,063,461"
"4,290","Sep 13, 2002",Igby Goes Down,"$9,000,000","$4,777,465","$5,512,151"
"4,486","Sep 13, 2002",Betty Fisher et autres histoires,"$7,500,000","$206,400","$206,400"
"5,403","Sep 13, 2011",Never Back Down 2: The Beatdown,"$3,000,000",$0,$0
"4,317","Sep 13, 2012",Veronika Decides to Die,"$9,000,000",$0,"$2,243"
"5,454","Sep 13, 2012",La Cara Oculta,"$2,600,000",$0,"$7,033,931"
"1,811","Sep 13, 2013",Rush,"$38,000,000","$26,947,624","$98,159,204"
"2,185","Sep 13, 2013",The Family,"$30,000,000","$36,918,811","$80,588,942"
"4,822","Sep 13, 2013",Insidious Chapter 2,"$5,000,000","$83,586,447","$161,921,515"
"5,640","Sep 13, 2013",Plush,"$2,000,000","$3,080","$28,864"
"2,798","Sep 13, 2017",Victoria and Abdul,"$21,000,000","$22,245,070","$68,271,146"
"2,267","Sep 13, 2018",Johnny English Strikes Again,"$30,000,000","$4,412,170","$159,369,278"
751,"Sep 13, 2024",The Wild Robot,"$78,000,000.00","$112,904,285.00","$234,223,442.00"
"5,319","Sep 13, 2024",Am I Racist?,"$3,000,000","$12,296,568","$12,296,568"
"2,757","Sep 14, 2001",The Glass House,"$22,000,000","$17,951,431","$22,861,785"
"2,790","Sep 14, 2001",Hardball,"$21,000,000","$40,222,729","$43,728,560"
"2,949","Sep 14, 2004",Kung Fu Hustle,"$20,000,000","$17,104,669","$102,034,104"
887,"Sep 14, 2007",The Brave One,"$70,000,000.00","$36,793,804.00","$69,792,704.00"
"1,381","Sep 14, 2007",Eastern Promises,"$50,000,000","$17,181,265","$56,077,088"
"1,510","Sep 14, 2007",Across the Universe,"$45,000,000","$24,343,673","$29,367,143"
"2,073","Sep 14, 2007",Dragon Wars: D-War,"$32,000,000","$10,977,721","$79,915,361"
"2,714","Sep 14, 2007",In the Valley of Elah,"$23,000,000","$6,777,741","$24,489,150"
"4,174","Sep 14, 2007",King of California,"$10,000,000","$268,461","$1,165,102"
"5,238","Sep 14, 2007",Ira and Abby,"$3,500,000","$221,096","$221,096"
"1,831","Sep 14, 2012",The Master,"$37,500,000","$16,247,159","$29,044,338"
"2,005","Sep 14, 2012",Stolen,"$35,000,000","$289,773","$17,967,746"
"3,839","Sep 14, 2012",Arbitrage,"$12,000,000","$7,919,574","$35,830,713"
"5,013","Sep 14, 2012",Barfi,"$4,600,000","$2,804,874","$36,751,984"
"5,876","Sep 14, 2012",Airborne,"$1,200,000",$0,$0
997,"Sep 14, 2017",American Assassin,"$63,000,000","$36,249,674","$68,310,140"
"2,206","Sep 14, 2018",White Boy Rick,"$30,000,000","$24,004,833","$25,947,983"
"4,702","Sep 14, 2018",Unbroken: Path to Redemption,"$6,000,000","$6,216,897","$6,216,897"
"4,723","Sep 14, 2018",Mandy,"$6,000,000","$1,233,694","$1,480,281"
"3,537","Sep 14, 2022",Armageddon Time,"$15,000,000","$1,872,625","$6,568,234"
"3,080","Sep 15, 1989",Sea of Love,"$19,000,000","$58,571,513","$110,879,513"
"3,385","Sep 15, 1999",American Beauty,"$15,000,000","$130,058,047","$356,258,047"
"1,094","Sep 15, 2000",Almost Famous,"$60,000,000","$32,522,352","$47,371,191"
"1,970","Sep 15, 2000",Bait,"$35,000,000","$15,325,127","$15,471,969"
"3,343","Sep 15, 2000",Duets,"$16,000,000","$4,734,235","$6,615,452"
"6,349","Sep 15, 2000",Urbania,"$225,000","$1,032,075","$1,032,075"
"2,147","Sep 15, 2005",Wallace & Gromit: The Curse of the Were-Rabbit,"$30,000,000","$56,068,547","$197,593,152"
"1,108","Sep 15, 2006",The Black Dahlia,"$60,000,000","$22,672,813","$49,238,525"
"2,181","Sep 15, 2006",Gridiron Gang,"$30,000,000","$38,432,823","$41,457,834"
"3,405","Sep 15, 2006",The Queen,"$15,000,000","$56,441,711","$128,885,873"
"5,431","Sep 15, 2006",Artie Lange's Beer League,"$2,800,000","$475,000","$475,000"
"6,005","Sep 15, 2006",Jimmy and Judy,"$1,000,000",$0,$0
"3,531","Sep 15, 2010",Never Let Me Go,"$15,000,000","$2,434,652","$11,173,718"
"4,052","Sep 15, 2016",Blair Witch,"$10,000,000","$20,777,061","$38,985,577"
874,"Sep 15, 2017",The Lego Ninjago Movie,"$70,000,000.00","$59,281,555.00","$122,737,201.00"
"2,229","Sep 15, 2017",mother!,"$30,000,000","$17,800,004","$44,516,999"
186,"Sep 15, 2021",Dune,"$165,000,000.00","$109,987,830.00","$429,941,853.00"
"1,305","Sep 15, 2022",The Woman King,"$50,000,000","$67,328,130","$94,374,749"
509,"Sep 15, 2023",Expend4bles,"$100,000,000.00","$16,710,153.00","$51,133,603.00"
"2,244","Sep 15, 2023",Dumb Money,"$30,000,000","$13,919,484","$17,956,910"
"4,834","Sep 16, 1953",The Robe,"$5,000,000","$36,000,000","$36,010,887"
"2,345","Sep 16, 1994",Timecop,"$28,000,000","$44,853,581","$102,053,581"
"1,141","Sep 16, 2005",Just Like Heaven,"$58,000,000","$48,318,130","$100,687,083"
"1,579","Sep 16, 2005",Lord of War,"$42,000,000","$24,149,632","$60,437,727"
"2,622","Sep 16, 2005",Venom,"$25,000,000","$881,745","$881,745"
"3,005","Sep 16, 2005",Proof,"$20,000,000","$7,535,331","$8,284,331"
